iter	Passed	Remaining
401	16147	24020
402	16187	23980
403	16230	23943
404	16270	23903
405	16311	23864
406	16354	23828
407	16392	23785
408	16431	23743
409	16472	23704
410	16512	23664
411	16551	23622
412	16592	23583
413	16638	23550
414	16682	23516
415	16717	23469
416	16761	23434
417	16805	23399
418	16846	23360
419	16891	23326
420	16940	23297
421	16989	23269
422	17036	23238
423	17082	23205
424	17128	23174
425	17174	23140
426	17212	23097
427	17249	23053
428	17289	23012
429	17328	22970
430	17368	22930
431	17410	22892
432	17455	22857
433	17500	22822
434	17542	22785
435	17582	22743
436	17622	22703
437	17660	22660
438	17698	22616
439	17737	22574
440	17777	22534
441	17816	22491
442	17855	22449
443	17894	22408
444	17932	22365
445	17971	22323
446	18007	22277
447	18045	22234
448	18081	22189
449	18118	22145
450	18156	22102
451	18194	22059
452	18236	22020
453	18274	21978
454	18312	21935
455	18352	21893
456	18390	21851
457	18427	21807
458	18465	21764
459	18502	21720
460	18541	21679
461	18579	21636
462	18619	21595
463	18657	21552
464	18695	21509
465	18732	21466
466	18771	21424
467	18809	21382
468	18848	21340
469	18885	21296
470	18924	21254
471	18960	21210
472	19001	21171
473	19039	21128
474	19077	21085
475	19114	21042
476	19152	20999
477	19191	20957
478	19228	20914
479	19266	20871
480	19304	20829
481	19347	20792
482	19387	20751
483	19425	20709
484	19463	20667
485	19502	20625
486	19540	20583
487	19580	20543
488	19617	20500
489	19656	20458
490	19696	20418
491	19736	20378
492	19774	20335
493	19812	20293
494	19851	20252
495	19891	20212
496	19929	20170
497	19965	20126
498	20001	20081
499	20041	20041
500	20080	20000
501	20117	19957
502	20154	19914
503	20191	19871
504	20231	19830
505	20267	19786
506	20306	19745
507	20343	19703
508	20381	19660
509	20420	19619
510	20458	19578
511	20497	19536
512	20535	19494
513	20575	19454
514	20616	19415
515	20655	19374
516	20694	19333
517	20733	19292
518	20770	19250
519	20808	19208
520	20850	19170
521	20891	19130
522	20929	19088
523	20968	19047
524	21008	19007
525	21047	18966
526	21088	18927
527	21128	18887
528	21165	18844
529	21202	18802
530	21242	18761
531	21279	18719
532	21320	18680
533	21360	18640
534	21400	18600
535	21440	18560
536	21479	18519
537	21518	18478
538	21559	18439
539	21598	18398
540	21634	18355
541	21673	18314
542	21711	18273
543	21751	18233
544	21790	18191
545	21829	18151
546	21867	18110
547	21911	18073
548	21954	18035
549	21995	17996
550	22033	17954
551	22074	17915
552	22112	17874
553	22149	17831
554	22185	17787
555	22224	17747
556	22261	17705
557	22299	17663
558	22339	17623
559	22377	17582
560	22418	17543
561	22458	17503
562	22496	17461
563	22535	17421
564	22573	17379
565	22610	17337
566	22651	17298
567	22691	17258
568	22730	17217
569	22774	17180
570	22815	17141
571	22854	17100
572	22894	17060
573	22934	17020
574	22972	16979
575	23012	16939
576	23053	16900
577	23094	16861
578	23130	16818
579	23165	16774
580	23204	16734
581	23243	16693
582	23280	16651
583	23317	16609
584	23355	16568
585	23394	16527
586	23433	16487
587	23472	16446
588	23510	16405
589	23551	16366
590	23590	16326
591	23629	16285
592	23665	16242
593	23701	16200
594	23739	16158
595	23777	16117
596	23817	16077
597	23855	16036
598	23891	15994
599	23928	15952
600	23965	15910
601	24005	15870
602	24046	15831
603	24089	15793
604	24128	15753
605	24168	15713
606	24205	15671
607	24243	15630
608	24281	15589
609	24319	15548
610	24358	15507
611	24397	15467
612	24438	15428
613	24475	15386
614	24517	15348
615	24556	15308
616	24595	15267
617	24634	15227
618	24673	15186
619	24713	15146
620	24752	15106
621	24790	15065
622	24828	15024
623	24867	14984
624	24904	14942
625	24942	14901
626	24980	14860
627	25022	14822
628	25063	14783
629	25106	14744
630	25147	14705
631	25186	14665
632	25226	14626
633	25265	14585
634	25305	14545
635	25347	14506
636	25385	14466
637	25422	14424
638	25460	14383
639	25499	14343
640	25543	14306
641	25583	14265
642	25620	14224
643	25658	14183
644	25695	14142
645	25733	14101
646	25772	14061
647	25812	14021
648	25849	13980
649	25889	13940
650	25926	13899
651	25964	13858
652	26003	13818
653	26045	13779
654	26085	13739
655	26125	13700
656	26167	13661
657	26210	13623
658	26251	13583
659	26293	13545
660	26339	13508
661	26379	13468
662	26416	13427
663	26455	13387
664	26493	13346
665	26532	13306
666	26570	13265
667	26610	13225
668	26644	13183
669	26682	13141
670	26720	13101
671	26758	13060
672	26795	13019
673	26835	12979
674	26874	12939
675	26913	12899
676	26953	12859
677	26991	12819
678	27030	12778
679	27067	12737
680	27104	12696
681	27143	12656
682	27177	12614
683	27212	12571
684	27251	12531
685	27289	12491
686	27328	12451
687	27367	12410
688	27405	12370
689	27440	12328
690	27476	12287
691	27516	12247
692	27554	12206
693	27592	12166
694	27632	12126
695	27670	12085
696	27708	12045
697	27745	12004
698	27783	11963
699	27819	11922
700	27859	11882
701	27897	11842
702	27937	11802
703	27974	11762
704	28013	11721
705	28050	11680
706	28090	11641
707	28128	11601
708	28166	11560
709	28206	11520
710	28242	11479
711	28280	11439
712	28318	11398
713	28357	11358
714	28396	11319
715	28433	11278
716	28473	11238
717	28514	11199
718	28554	11159
719	28591	11118
720	28631	11079
721	28668	11038
722	28707	10998
723	28744	10957
724	28782	10917
725	28821	10877
726	28859	10837
727	28897	10796
728	28937	10757
729	28976	10717
730	29015	10677
731	29051	10636
732	29088	10595
733	29127	10555
734	29164	10515
735	29201	10474
736	29239	10434
737	29275	10393
738	29314	10353
739	29354	10313
740	29395	10274
741	29437	10235
742	29472	10194
743	29511	10154
744	29550	10114
745	29589	10074
746	29630	10035
747	29666	9994
748	29705	9954
749	29742	9914
750	29779	9873
751	29816	9833
752	29854	9792
753	29894	9753
754	29935	9714
755	29974	9674
756	30014	9634
757	30051	9594
758	30089	9554
759	30127	9513
760	30164	9473
761	30202	9433
762	30241	9393
763	30279	9353
764	30318	9313
765	30360	9274
766	30397	9234
767	30435	9194
768	30473	9153
769	30509	9113
770	30547	9073
771	30586	9033
772	30628	8994
773	30666	8954
774	30707	8915
775	30748	8875
776	30786	8835
777	30823	8795
778	30863	8755
779	30901	8715
780	30938	8675
781	30975	8635
782	31014	8595
783	31054	8555
784	31091	8515
785	31129	8475
786	31170	8436
787	31209	8396
788	31247	8356
789	31288	8317
790	31330	8278
791	31370	8238
792	31408	8198
793	31449	8159
794	31488	8119
795	31528	8080
796	31567	8040
797	31604	8000
798	31642	7960
799	31681	7920
800	31718	7880
801	31754	7839
802	31793	7799
803	31831	7760
804	31868	7719
805	31906	7679
806	31940	7638
807	31978	7598
808	32015	7558
809	32051	7518
810	32089	7478
811	32126	7438
812	32163	7397
813	32200	7357
814	32237	7317
815	32276	7278
816	32315	7238
817	32355	7198
818	32394	7159
819	32433	7119
820	32472	7079
821	32513	7040
822	32551	7000
823	32589	6960
824	32626	6920
825	32664	6880
826	32702	6841
827	32739	6800
828	32776	6760
829	32815	6721
830	32855	6681
831	32896	6642
832	32935	6602
833	32975	6563
834	33014	6523
835	33052	6483
836	33090	6444
837	33127	6404
838	33166	6364
839	33201	6324
840	33237	6283
841	33272	6243
842	33311	6203
843	33350	6164
844	33385	6123
845	33420	6083
846	33458	6043
847	33494	6003
848	33534	5964
849	33572	5924
850	33609	5884
851	33646	5844
852	33685	5805
853	33725	5765
854	33763	5725
855	33801	5686
856	33837	5646
857	33872	5605
858	33909	5566
859	33947	5526
860	33985	5486
861	34023	5446
862	34061	5407
863	34098	5367
864	34135	5327
865	34174	5287
866	34212	5248
867	34250	5208
868	34287	5168
869	34325	5129
870	34364	5089
871	34401	5049
872	34439	5010
873	34476	4970
874	34514	4930
875	34553	4891
876	34590	4851
877	34628	4811
878	34667	4772
879	34703	4732
880	34739	4692
881	34777	4652
882	34817	4613
883	34852	4573
884	34889	4533
885	34924	4493
886	34962	4454
887	35002	4414
888	35041	4375
889	35083	4336
890	35122	4296
891	35160	4257
892	35198	4217
893	35236	4177
894	35276	4138
895	35316	4099
896	35353	4059
897	35393	4020
898	35429	3980
899	35464	3940
900	35504	3901
901	35543	3861
902	35585	3822
903	35625	3783
904	35665	3743
905	35707	3704
906	35748	3665
907	35786	3625
908	35824	3586
909	35863	3546
910	35904	3507
911	35944	3468
912	35984	3428
913	36023	3389
914	36060	3349
915	36098	3310
916	36136	3270
917	36172	3231
918	36209	3191
919	36247	3151
920	36285	3112
921	36324	3073
922	36364	3033
923	36404	2994
924	36439	2954
925	36476	2914
926	36516	2875
927	36554	2836
928	36593	2796
929	36631	2757
930	36668	2717
931	36705	2678
932	36742	2638
933	36781	2599
934	36822	2559
935	36858	2520
936	36895	2480
937	36932	2441
938	36969	2401
939	37006	2362
940	37045	2322
941	37081	2283
942	37120	2243
943	37158	2204
944	37197	2164
945	37237	2125
946	37280	2086
947	37326	2047
948	37365	2008
949	37403	1968
950	37440	1929
951	37480	1889
952	37520	1850
953	37559	1811
954	37597	1771
955	37634	1732
956	37672	1692
957	37710	1653
958	37748	1613
959	37786	1574
960	37824	1535
961	37864	1495
962	37901	1456
963	37937	1416
964	37976	1377
965	38017	1338
966	38054	1298
967	38093	1259
968	38133	1219
969	38170	1180
970	38208	1141
971	38246	1101
972	38288	1062
