iter	Logloss
0	0.6883790065
1	0.6839548388
2	0.6798905067
3	0.6758570642
4	0.6723037577
5	0.6686158652
6	0.6654542864
7	0.66224158
8	0.6591333218
9	0.6564486834
10	0.6536050858
11	0.6507936309
12	0.64844552
13	0.646043086
14	0.6437979196
15	0.6417355219
16	0.6397095901
17	0.6377204377
18	0.6359215101
19	0.6341884343
20	0.6325720248
21	0.6309024826
22	0.6292392061
23	0.6277415304
24	0.6263206714
25	0.6250166666
26	0.6237063962
27	0.6223164895
28	0.6211518325
29	0.6202046558
30	0.6191804118
31	0.6182041626
32	0.6170814854
33	0.6161755993
34	0.6153507906
35	0.6145231623
36	0.6135516123
37	0.6126806885
38	0.6119820697
39	0.611257198
40	0.6104322639
41	0.6097824545
42	0.6090204275
43	0.608409841
44	0.6077729388
45	0.6072475023
46	0.6065069037
47	0.6059723821
48	0.6053466327
49	0.6048963839
50	0.604328529
51	0.6037891201
52	0.6033336708
53	0.6028209536
54	0.6021308561
55	0.6016132517
56	0.600975347
57	0.6005410755
58	0.6000780448
59	0.599686317
60	0.5990209688
61	0.5985882012
62	0.5980419627
63	0.5977397083
64	0.5974076294
65	0.5970144606
66	0.5967003641
67	0.5964196008
68	0.596032071
69	0.5955391532
70	0.5952603323
71	0.5948010609
72	0.5942813888
73	0.5939325807
74	0.5936604014
75	0.5933040118
76	0.5930612183
77	0.5926850293
78	0.5922793919
79	0.592006022
80	0.5916985045
81	0.5914720016
82	0.5912597844
83	0.590967743
84	0.5906773933
85	0.5903596001
86	0.5900950648
87	0.5898687499
88	0.5895206937
89	0.5893386768
90	0.5889944426
91	0.5887247069
92	0.5884927529
93	0.5882725784
94	0.5878457004
95	0.5874603009
96	0.5872831086
97	0.5868747769
98	0.586648838
99	0.5865015955
100	0.5863911323
101	0.5861620605
102	0.5859582393
103	0.5857898815
104	0.5855830528
105	0.5854193943
106	0.585217766
107	0.5850082431
108	0.5847784821
109	0.5844585586
110	0.584134625
111	0.5839386985
112	0.5836992884
113	0.5835838754
114	0.5833907057
115	0.5832302427
116	0.5830202185
117	0.5828934646
118	0.5827553072
119	0.5826378265
120	0.5824016119
121	0.5822434045
122	0.5821031169
123	0.5818357621
124	0.5817251735
125	0.581515024
126	0.5813578818
127	0.5812105139
128	0.5810201638
129	0.5808840115
130	0.5806095765
131	0.5805016195
132	0.5802663448
133	0.5800833881
134	0.5797009335
135	0.5794491175
136	0.5793375891
137	0.5791729908
138	0.5789644703
139	0.5788615885
140	0.5785392841
141	0.5783501244
142	0.578246992
143	0.5780502509
144	0.5778297004
145	0.5777293876
146	0.5775042005
147	0.5772780109
148	0.5770857811
149	0.5769480624
150	0.5768016344
151	0.5766567728
152	0.5765730639
153	0.5764206209
154	0.5763074634
155	0.5761627272
156	0.5760489432
157	0.5759810863
158	0.5757355359
159	0.5756356616
160	0.5754231938
161	0.5753027056
162	0.5752222547
163	0.5751342852
164	0.5749392985
165	0.5748778952
166	0.574743372
167	0.5746022071
168	0.5744552779
169	0.5742248903
170	0.5741485748
171	0.5739926857
172	0.5738903679
173	0.5737675613
174	0.57368191
175	0.573488991
176	0.5733591043
177	0.573233165
178	0.5731750198
179	0.573088742
180	0.5729541561
181	0.5728980786
182	0.5728045953
183	0.5727051596
184	0.5726440696
185	0.5726145584
186	0.5724114891
187	0.5723379305
188	0.5722522165
189	0.5721410641
190	0.5721007134
191	0.5719475812
192	0.5718788471
193	0.5718538472
194	0.5717644992
195	0.5716338606
196	0.5714699515
197	0.5714440744
198	0.5713730221
199	0.571286055
200	0.5711834865
201	0.5710489632
202	0.5709181993
203	0.5707763453
204	0.5706832379
205	0.5705492158
206	0.5704770983
207	0.5704044796
208	0.5703421365
209	0.5701628139
210	0.5699289802
211	0.5698921383
212	0.5697938304
213	0.5697178282
214	0.569590949
215	0.5695026035
216	0.5694658242
217	0.5693162634
218	0.5692370031
219	0.5691911386
220	0.5690944598
221	0.5689896983
222	0.5688156388
223	0.5687294863
224	0.5686697748
225	0.5684958406
226	0.568401856
227	0.5683260418
228	0.5681606289
229	0.5680371332
230	0.5679339381
231	0.5678569334
232	0.5677984123
233	0.5677043651
234	0.5676499793
235	0.5675363207
236	0.5674615089
237	0.5673424618
238	0.5672561839
239	0.5670573752
240	0.5670084406
241	0.5669608217
242	0.5668860726
243	0.5667661483
244	0.566709319
245	0.5666718504
246	0.5666652089
247	0.5665374525
248	0.5665043699
249	0.5664561245
250	0.5663976661
251	0.5662816891
252	0.5661896469
253	0.5660985445
254	0.5659385827
255	0.5658790591
256	0.5658186584
257	0.5656879571
258	0.5656126442
259	0.5654636473
260	0.5654194119
261	0.5653618306
262	0.5653209787
263	0.565223548
264	0.5651999265
265	0.5650800022
266	0.5650157794
267	0.5649071332
268	0.5648447274
269	0.5648115196
270	0.5647808179
271	0.5646838885
272	0.5645275608
273	0.5644477366
274	0.5644075111
275	0.5643373986
276	0.5642574491
277	0.5641429132
278	0.5640742418
279	0.5640676629
280	0.5639995554
281	0.5639094555
282	0.5637852705
283	0.563725559
284	0.5637224888
